日付,内容,コメント
2026-04-21,"〈電話の要件と対応〉
・至急
①患者のID、名前、処方内容を確認
②カルテで処方箋の番号を確認
③処方箋を探し、至急のクリップを挟む

・麻薬処方箋
急ぎかどうか、内服か注射かを確認

・処方の修正
処方箋,モノを見つけてから修正する
→時間がかかりそうな場合、折り返し電話する

・転棟
処方箋と薬袋の病棟をマジックでなおす",
2026-04-08,"〈ヨウ化カリウム〉
・適応,用法用量
甲状腺腫(ヨウ素欠乏)→1日0.3~1mg
甲状腺機能亢進→1日5~50mg,1~3回分服
慢性気管支炎、喘息に伴う喀痰喀出困難
→1回0.1~0.5g,1日3~4回

・禁忌
ヨウ素過敏症
肺結核(肺結核病巣組織集まりやすく再燃させるおそれがある)
エプレレノン,エサレキレノン投与中の患者(K貯蓄作用が増強し、血清K値が上昇するおそれがある)

・作用機序
甲状腺機能低下時
→ヨウ素により機能亢進
甲状腺機能亢進時
→cAMPを介する甲状腺ホルモンの機能を抑制

・注意事項
131I療法を行う1週間前に中止

・0.02g分1,1日分の調剤(10倍散)
①ヨウ化カリウムを0.2gとる
②乳糖で賦形して全量2gにする(KI0.2g/2g=0.1g/g)
③ ②から0.2gとる(0.1g/g×0.2g=0.02gKI)
④乳糖で賦形して0.3gにする
※デンプンで賦形すると変色(ヨウ素デンプン反応)

・参考文献
添付文書",倍散や粉砕は難しいですが、慣れればすぐにできるようになるので積極的にやってみてくださいね。岡田
